Date,Open,High,Low,Close,Volume,Market Cap,,,
04 September 2017,608.26,608.26,500.75,517.24,"32,89,57,000","10,07,22,00,000",,,
05 September 2017,514.9,550.95,458.78,541.71,"33,89,78,000","8,52,71,00,000",,,
06 September 2017,541.28,642.69,539.96,638.18,"69,32,40,000","8,96,47,00,000",,,
07 September 2017,636.85,707.98,603.5,652.86,"1,08,23,80,000","10,54,85,00,000",,,
08 September 2017,654.37,687.3,557.5,583.1,"80,97,63,000","10,84,05,00,000",,,
09 September 2017,584.73,586.18,539.15,547.47,"23,45,78,000","9,68,81,50,000",,,
10 September 2017,546.48,546.75,484.09,537.07,"28,95,08,000","9,05,54,30,000",,,
11 September 2017,537.19,556.25,515.67,537.81,"27,47,12,000","8,90,25,70,000",,,
12 September 2017,539.03,559.22,505.01,510.41,"27,38,25,000","8,93,42,20,000",,,
13 September 2017,509.47,519.2,471.22,503.61,"34,03,44,000","8,44,55,40,000",,,
14 September 2017,504.22,510.47,367.04,367.04,"25,74,31,000","8,35,96,50,000",,,
15 September 2017,369.49,448.39,301.69,424.02,"70,72,31,000","6,12,68,00,000",,,
16 September 2017,424.49,450.98,388.2,440.22,"31,35,83,000","7,03,95,90,000",,,
17 September 2017,438.9,438.9,384.06,419.86,"22,18,28,000","7,27,95,20,000",,,
18 September 2017,422.09,479.69,422.09,479.32,"45,85,50,000","7,00,16,40,000",,,
19 September 2017,480.64,550.41,450.05,527.88,"80,23,21,000","7,97,50,10,000",,,
20 September 2017,526.74,527.72,471.09,476.05,"66,92,64,000","8,74,16,70,000",,,
21 September 2017,475.83,480,413.75,416.26,"31,67,31,000","7,89,83,00,000",,,
22 September 2017,417.92,435.44,402.77,415.09,"24,19,05,000","6,93,71,70,000",,,
23 September 2017,415.31,432.96,407.45,428.5,"18,91,27,000","6,89,59,70,000",,,
24 September 2017,428.8,433.04,419.25,421.03,"11,45,27,000","7,12,19,50,000",,,
25 September 2017,419.65,450.13,419.65,445.8,"30,22,72,000","6,97,12,80,000",,,
26 September 2017,445.36,458.25,441.83,441.83,"16,53,03,000","7,40,00,20,000",,,
27 September 2017,441.86,460,439.41,457.31,"19,78,85,000","7,34,34,90,000",,,
28 September 2017,456.71,465.2,433.5,447.81,"30,04,21,000","7,59,20,00,000",,,
29 September 2017,447.66,447.92,426.99,436.77,"14,87,25,000","7,44,19,60,000",,,
30 September 2017,436.64,445.62,432.53,432.63,"15,05,65,000","7,25,88,80,000",,,
01 October 2017,433.38,436.94,415.15,415.15,"16,42,90,000","7,20,77,70,000",,,
02 October 2017,415.87,430.86,411.84,421.19,"21,95,90,000","6,92,15,80,000",,,
