Date,Open,High,Low,Close,Volume,Market Cap
"Jul 30, 2016",0.006589,0.00677,0.006559,0.006726,"87,991","5,93,04,900"
"Jul 29, 2016",0.006627,0.006657,0.006533,0.006589,"65,604","5,96,42,700"
"Jul 28, 2016",0.006627,0.006706,0.00653,0.006628,"1,32,462","5,96,39,600"
"Jul 27, 2016",0.006569,0.006982,0.006538,0.006644,"3,04,369","5,91,22,000"
"Jul 26, 2016",0.00696,0.007045,0.006387,0.006586,"4,37,248","6,26,37,000"
"Jul 25, 2016",0.00686,0.007039,0.006706,0.00701,"1,91,396","6,17,39,600"
"Jul 24, 2016",0.007226,0.007226,0.006758,0.006881,"2,27,133","6,50,35,800"
"Jul 23, 2016",0.006742,0.007639,0.006685,0.007226,"6,51,708","6,06,75,500"
"Jul 22, 2016",0.006843,0.006926,0.006391,0.00673,"4,69,661","6,15,84,000"
"Jul 21, 2016",0.007215,0.00728,0.00667,0.006802,"3,45,004","6,49,30,600"
"Jul 20, 2016",0.006756,0.00735,0.006725,0.007206,"4,04,954","6,08,00,600"
"Jul 19, 2016",0.007556,0.007556,0.006501,0.006758,"7,75,842","6,80,00,700"
"Jul 18, 2016",0.0077,0.007771,0.00746,0.007542,"1,96,177","6,93,02,900"
"Jul 17, 2016",0.007904,0.007973,0.007626,0.00772,"3,52,705","7,11,40,300"
"Jul 16, 2016",0.008115,0.008312,0.007863,0.007903,"3,01,630","7,30,32,200"
"Jul 15, 2016",0.008092,0.008341,0.007994,0.008158,"4,58,812","7,28,28,300"
"Jul 14, 2016",0.008694,0.008855,0.007394,0.008096,"8,94,330","7,82,43,100"
"Jul 13, 2016",0.009293,0.009427,0.00864,0.00868,"6,53,997","8,36,38,400"
"Jul 12, 2016",0.008124,0.009512,0.008124,0.009321,"16,68,430","7,31,17,100"
"Jul 11, 2016",0.008154,0.00845,0.007984,0.008119,"4,65,964","7,33,82,400"
"Jul 10, 2016",0.008038,0.008368,0.007906,0.00815,"3,50,326","7,23,38,200"
"Jul 09, 2016",0.008176,0.008303,0.007914,0.008034,"4,03,571","7,35,83,800"
"Jul 08, 2016",0.007697,0.008946,0.007697,0.008166,"13,07,980","6,92,75,900"
"Jul 07, 2016",0.009346,0.009407,0.007315,0.007649,"20,17,560","8,41,09,800"
"Jul 06, 2016",0.009461,0.009977,0.009082,0.009398,"8,06,001","8,51,50,500"
"Jul 05, 2016",0.01085,0.010995,0.009086,0.009415,"13,59,130","9,76,50,000"
"Jul 04, 2016",0.01076,0.011465,0.010755,0.010891,"10,53,260","9,68,41,800"
"Jul 03, 2016",0.010538,0.011183,0.01019,0.010768,"13,52,360","9,48,44,700"
"Jul 02, 2016",0.010467,0.010944,0.0101,0.010535,"12,13,810","9,42,04,800"
"Jul 01, 2016",0.012402,0.012844,0.009496,0.010477,"36,48,490","11,16,15,000"
"Jun 30, 2016",0.010413,0.012911,0.009008,0.012527,"42,87,380","9,37,21,500"
"Jun 29, 2016",0.012534,0.012778,0.008759,0.010399,"64,24,080","11,28,03,000"
"Jun 28, 2016",0.011525,0.015529,0.010537,0.012825,"98,30,870","10,37,28,000"
"Jun 27, 2016",0.006814,0.011612,0.0067,0.011272,"31,21,330","6,13,21,900"
"Jun 26, 2016",0.007393,0.007393,0.006326,0.006817,"9,19,578","6,65,39,200"
"Jun 25, 2016",0.007613,0.00796,0.006282,0.007407,"19,85,250","6,85,21,300"
"Jun 24, 2016",0.005181,0.007559,0.005144,0.007508,"17,81,030","4,66,28,200"
"Jun 23, 2016",0.004135,0.00538,0.003802,0.005122,"6,61,495","3,72,17,300"
"Jun 22, 2016",0.004412,0.004948,0.003943,0.004088,"7,08,990","3,97,07,300"
"Jun 21, 2016",0.005633,0.005799,0.004389,0.0044,"14,00,580","5,07,00,100"
"Jun 20, 2016",0.004955,0.006525,0.004842,0.005594,"20,68,320","4,45,96,400"
"Jun 19, 2016",0.003041,0.005523,0.003012,0.005004,"21,44,130","2,73,65,600"
"Jun 18, 2016",0.002573,0.003041,0.002509,0.003041,"2,16,735","2,31,56,400"
"Jun 17, 2016",0.002697,0.002825,0.002441,0.002564,"1,76,445","2,42,74,200"
"Jun 16, 2016",0.002436,0.002701,0.002412,0.002695,"93,485","2,19,27,200"
"Jun 15, 2016",0.002376,0.0025,0.002295,0.002436,"89,352","2,13,84,700"
"Jun 14, 2016",0.002219,0.002604,0.002179,0.002376,"1,90,254","1,99,71,400"
"Jun 13, 2016",0.002093,0.0023,0.002059,0.002219,"1,26,549","1,88,38,900"
"Jun 12, 2016",0.001978,0.002152,0.001945,0.002094,"74,584","1,78,03,600"
"Jun 11, 2016",0.001888,0.001969,0.00188,0.001968,"13,460","1,69,91,200"
"Jun 10, 2016",0.001858,0.001953,0.001844,0.001888,"36,825","1,67,22,400"
"Jun 09, 2016",0.001967,0.001991,0.001806,0.001858,"69,457","1,77,04,500"
"Jun 08, 2016",0.002047,0.002048,0.001905,0.001968,"40,244","1,84,25,300"
"Jun 07, 2016",0.002023,0.00214,0.001984,0.002024,"48,058","1,82,08,400"
"Jun 06, 2016",0.002003,0.002023,0.001966,0.002023,"25,280","1,80,23,000"
